                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2579,                 4.0089,                 1.0021,                0.34967,                0.09677,                0.10318,                0.09949,                0.64348,                 3.0098,                0.91749,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 1.0268,                 2.0356,                0.89116,                0.88755,                0.57593,                0.58994,                0.51256,                0.53585,                0.79338,                0.83229,             7.9224e-05,             7.9224e-05,             7.9224e-05
                      3,                0.85383,                0.91668,                0.82782,                0.88524,                0.66667,                 0.6809,                0.56462,                0.67161,                0.74855,                  0.835,             0.00012016,             0.00012016,             0.00012016
                      4,                0.95171,                0.60167,                0.84129,                0.93594,                0.66013,                0.68549,                0.61092,                0.49501,                0.70845,                0.81038,             0.00015614,             0.00015614,             0.00015614
                      5,                0.86382,                0.51631,                0.81435,                0.90543,                0.75846,                0.80418,                0.64103,                0.62284,                0.88563,                0.83357,             0.00018717,             0.00018717,             0.00018717
                      6,                0.90374,                0.62366,                0.82755,                0.89889,                0.77981,                0.78664,                0.61679,                  0.649,                 1.0538,                0.83828,             0.00021325,             0.00021325,             0.00021325
                      7,                0.85206,                0.54853,                0.83458,                0.85803,                0.74242,                0.75218,                 0.6367,                0.57102,                0.67795,                 0.8261,             0.00023438,             0.00023438,             0.00023438
                      8,                0.81358,                0.59936,                0.82414,                0.88835,                0.78788,                0.79817,                 0.6615,                0.55768,                0.62137,                0.81809,             0.00025056,             0.00025056,             0.00025056
                      9,                0.80538,                0.59924,                0.83186,                0.92341,                  0.848,                0.85378,                0.68749,                0.56426,                 0.6198,                0.81612,             0.00026179,             0.00026179,             0.00026179
                     10,                0.82286,                0.53166,                0.82342,                0.87604,                0.84042,                0.83997,                0.68104,                0.54861,                0.72375,                0.81347,             0.00026806,             0.00026806,             0.00026806
                     11,                0.82324,                0.80875,                0.83181,                0.90659,                0.83971,                0.84801,                 0.6762,                0.57071,                0.69861,                0.81983,             0.00026939,             0.00026939,             0.00026939
                     12,                0.78175,                0.55093,                0.82724,                0.94136,                0.86315,                0.88318,                0.70794,                0.55079,                0.64949,                0.81554,             0.00026576,             0.00026576,             0.00026576
                     13,                0.79338,                0.67597,                0.81396,                0.94332,                  0.934,                0.93851,                0.72321,                0.61458,                 0.7656,                 0.8173,             0.00025718,             0.00025718,             0.00025718
                     14,                0.83043,                0.50802,                0.81928,                0.91815,                0.89265,                0.93213,                 0.7056,                0.62209,                0.79886,                0.81603,             0.00024366,             0.00024366,             0.00024366
                     15,                0.72821,                0.46344,                0.80452,                 0.8898,                0.90103,                0.93124,                0.71794,                0.61671,                0.72818,                 0.8193,             0.00022518,             0.00022518,             0.00022518
                     16,                0.85349,                0.54233,                0.82503,                0.93337,                0.90604,                0.94764,                0.74259,                0.64896,                 0.6693,                 0.8264,             0.00020175,             0.00020175,             0.00020175
                     17,                0.91983,                 0.5497,                0.83635,                0.95359,                0.93244,                0.95872,                0.77405,                0.62892,                0.64827,                0.82716,             0.00017337,             0.00017337,             0.00017337
                     18,                0.80702,                0.53557,                0.84391,                0.94537,                0.95406,                0.96367,                0.78225,                 0.5776,                0.61396,                0.82108,             0.00014004,             0.00014004,             0.00014004
                     19,                0.87374,                0.48971,                0.82123,                0.94965,                0.95406,                0.96035,                0.78188,                0.54644,                0.59534,                0.81801,             0.00010175,             0.00010175,             0.00010175
                     20,                0.75197,                0.44743,                0.82281,                0.94982,                 0.9609,                0.96398,                 0.7849,                0.53203,                0.57575,                0.81604,              5.852e-05,              5.852e-05,              5.852e-05
